,NBAC_nfireid,NBAC_area,WFS event,T2_area,dice_coefficient,Relative Percent Difference,NFDB_fireid,NFDB_area
0,658.0,6300765.907075451,144,11254629.472423494,0.6872402309811739,56.43693529264658,,
1,674.0,1324747.8845054628,155,1532879.240145773,0.2559937356595395,14.56672592759714,,
2,674.0,1324747.8845054628,167,3096117.3266587406,0.3728137243279416,80.13677674134743,,
3,659.0,6226023.047018359,168,11226903.320675567,0.6715063794884617,57.30706894992738,,
4,,,168,11226903.320675567,0.7591631312293157,38.06171083369681,23PA-LILLY,7636950.562183176
5,979.0,367708.5191907175,210,496338.3807844725,0.37609694218651385,29.77381473099399,,
6,,,210,496338.3807844725,0.3760969421895056,29.773814731241828,23BN-BRIR01,367708.5191897855
7,648.0,4062904.8362347004,214,3972660.8138767993,0.531758370616559,2.2461149914604674,,
8,351.0,673184577.5493813,221,2223809738.576981,0.46239942277214385,107.05061811104804,,
9,352.0,469253111.5992361,221,2223809738.576981,0.3460676138667696,130.30194426119226,,
10,671.0,27939249.717220407,221,2223809738.576981,0.02426736699878581,195.03688024509594,,
11,673.0,53978511.80984401,221,2223809738.576981,0.04705993350447938,190.52089028895867,,
12,1641.0,7187975.280931142,221,2223809738.576981,0.00644373164193114,198.7112536716138,,
13,,,221,2223809738.576981,0.014401553918429516,197.11968921631407,23BN-HILLS,16129301.42932301
14,,,221,2223809738.576981,0.5771723252794417,64.49116235848805,23BN-VERMETTE,1139341935.3724976
15,,,221,2223809738.576981,0.031320830731846695,193.55790829588284,23BN-VOLD,36401215.59354164
16,,,221,2223809738.576981,0.41365845311261457,116.79025406458258,23LX-LSZ001,584117222.6149791
17,,,221,2223809738.576981,0.05503690030131052,188.9120345551703,23LX-PAWR03,63401292.18531436
18,643.0,5522055.590352321,248,11128614.075414518,0.4616217152264538,67.34333930831711,,
19,,,248,11128614.075414518,0.672146759117722,22.66154864531706,23LF-ROCKY,8863367.733966598
20,668.0,37254705.34691706,257,74892259.30558525,0.6562291384191526,67.1218415501331,,
21,,,257,74892259.30558525,0.8278846380201368,31.008248678960182,23BR-SAULTEAUX,54786675.94259371
22,982.0,4439113.843627348,258,4773893.294573773,0.7113561337574568,7.267539163370109,,
23,,,258,4773893.294573773,0.7113561337566748,7.267539163268827,23HB-DELTA,4439113.84363185
24,1021.0,778794.7528217905,270,471795.6504663401,0.32020592393370073,49.096666910008125,,
25,,,270,471795.6504663401,0.32020592393056746,49.09666690949604,23HB-FWDF01,778794.7528175467
26,981.0,3328384.9215214006,290,3184806.109028107,0.8182622485750067,4.408862317099274,,
27,,,290,3184806.109028107,0.8182622485726193,4.408862316991263,23BN-LOCAL,3328384.921517804
28,668.0,37254705.34691706,319,172909.53592729432,0.0008952057503910374,198.15206460290312,,
29,,,319,172909.53592729432,0.00117108553062816,198.7415513823708,23BR-SAULTEAUX,54786675.94259371
30,980.0,1645741.4812744411,333,1174179.2132086542,0.502801355940858,33.445073046795486,,
31,,,333,1174179.2132086542,0.5028013559430773,33.44507304731154,23HB-MUSKEG,1645741.4812831783
32,982.0,4439113.843627348,334,394718.4670541409,0.11914811731206107,167.33701612429397,,
33,,,334,394718.4670541409,0.11914811731142012,167.33701612432438,23HB-DELTA,4439113.84363185
34,350.0,1149241266.8496356,398,2142073936.625745,0.6934634467804994,60.330452016735016,,
35,,,398,2142073936.625745,0.000813639145193035,199.81370894632698,23LX-PELICAN,998087.8638482736
36,,,398,2142073936.625745,0.9310912717042858,12.691355760725592,23LX-SHAW,1886437572.8604126
37,651.0,11505100.051141031,438,23306433.93336074,0.6540929277069415,67.80128613392164,,
38,,,438,23306433.93336074,0.7819436461618124,42.02015058185181,23WY-MEYAK,15213389.936393356
39,657.0,3119524.9505982385,467,5670916.618803014,0.6741390556526106,58.04922649360286,,
40,,,467,5670916.618803014,0.7048311713926477,36.682333565822695,23PA-SLIR03,3913096.7435224
41,983.0,1324545.7878557711,480,4115773.250383935,0.48149503417257905,102.61263881433342,,
42,,,480,4115773.250383935,0.4814950341720025,102.61263881445466,23HB-CHIR02,1324545.7878535916
43,349.0,4452433552.21865,488,7617925063.275103,0.7348903052469398,52.45066218650977,,
44,,,488,7617925063.275103,0.0016525251764611623,199.65665866007726,23LA-CHURCH,6544488.980679314
45,,,488,7617925063.275103,0.6455929482971652,70.48338364146103,23LA-MCCRAE,3647720849.189576
46,,,488,7617925063.275103,0.058197500417244426,188.3218669707248,23LX-ELLERAAS,229096401.3692356
47,,,488,7617925063.275103,0.011050730439083284,197.78507506182058,23LX-HAULTAIN,42417710.61221456
48,,,488,7617925063.275103,0.46047543269550617,107.73936483846802,23LX-SMITH,2283863181.8182616
49,652.0,440496531.47284836,493,743500764.0949992,0.7350689840054024,51.183264312580945,,
50,,,493,743500764.0949992,0.8949130738892855,18.663819055728702,23LA-WISTIGO,616579321.0433848
51,615.0,45520359.47307861,501,52631008.296864435,0.8274378741021362,14.489148720683087,,
52,,,501,52631008.296864435,0.2017752525264032,148.55011891278102,23LA-COWIE,7768923.237842039
53,,,501,52631008.296864435,0.8309536711313257,17.824447158968617,23LA-KOLWASKIE,44017479.02091444
54,632.0,11618958.01598983,510,13373117.821221314,0.8515415415091598,14.037727931504465,,
55,,,510,13373117.821221314,0.8613761260689794,14.84099590226697,23LA-DECEPTION,11525515.263322497
56,984.0,3145584.1839754395,569,3586187.526127295,0.5834685982770658,13.090263934251311,,
57,,,569,3586187.526127295,0.5834685982776195,13.090263934150842,23BR-AIR04,3145584.1839786135
58,,,695,282289.3640964649,2.1563262562802477e-05,199.90091844031775,23BN-VERMETTE,1139341935.3724976
59,655.0,379459545.8110053,763,504013781.1243912,0.8351820865740239,28.196490265403085,,
60,,,763,504013781.1243912,0.8699470498054653,21.300634074545773,23LX-BOLDING,406989087.4071335
61,625.0,79160001.94487792,771,70357671.1197142,0.7318707778625193,11.774301518672093,,
62,,,771,70357671.1197142,0.792941608494566,29.853704719953495,23DB-KPIR02,95047449.2301856
63,606.0,180402290.6308477,772,212287741.455752,0.8975616422277035,16.239500990375337,,
64,,,772,212287741.455752,0.9329110834267822,9.927260173627271,23SR-RIACH,192209971.28564692
65,607.0,60513708.06514831,775,98181718.29946409,0.7503587758120736,47.47208044644115,,
66,,,775,98181718.29946409,0.8363244610867376,31.55089796098193,23SR-KAY,71425429.26773463
67,641.0,155194885.00114515,797,186578404.19054845,0.7474633356232878,18.36510937623386,,
68,,,797,186578404.19054845,0.6298621861849988,43.34111458325444,23LA-SHARP,120116014.48191024
69,986.0,2992239.3483915054,805,6542084.532192846,0.6226461385770024,74.4645394526659,,
70,,,805,6542084.532192846,0.622646138577046,74.46453945270119,23HB-CLEM,2992239.3483902793
71,987.0,884274.9851193872,836,1282327.0451280547,0.7304041198209776,36.74436324267702,,
72,,,836,1282327.0451280547,0.7304041198230329,36.7443632427266,23SR-SINGER,884274.9851189335
73,641.0,155194885.00114515,900,226632.34699615976,0.0025541237342862674,199.41672851774183,,
74,,,900,226632.34699615976,0.00349256649716259,199.24670978088633,23LA-SHARP,120116014.48191024
75,625.0,79160001.94487792,902,744510.8229097218,0.016773634226116833,196.27299737088256,,
76,,,902,744510.8229097218,0.015488685959412994,196.89113440210616,23DB-KPIR02,95047449.2301856
77,987.0,884274.9851193872,909,381793.9168014033,0.007416934192371116,79.37657540686057,,
78,,,909,381793.9168014033,0.007416934191380483,79.37657540681734,23SR-SINGER,884274.9851189335
79,664.0,10528835.172733324,971,11287286.99306723,0.742155843590043,6.953131400436249,,
80,661.0,337586354.2777104,972,257716965.21316034,0.6085171497382424,26.833174433785388,,
81,,,972,257716965.21316034,0.6920388532490833,47.11543631272833,23BN-SHAD,416561612.0284907
82,608.0,151430283.27359527,979,215243905.55264252,0.7780301929587236,34.806716274914955,,
83,,,979,215243905.55264252,0.30136699050283644,139.34059357310286,23SR-DEBUS,38476291.3577496
84,,,979,215243905.55264252,0.46376496467759465,94.25987411564076,23SR-DEBUS2,77346317.5615754
85,,,979,215243905.55264252,0.4868197969079013,101.97220782351467,23SR-JACKFISH,69873598.60978049
86,989.0,883707.4013821015,985,1711941.50115556,0.5241925891015643,63.81711324391579,,
87,,,985,1711941.50115556,0.5241925891006614,63.81711324371416,23LF-PLAKE,883707.4013840852
88,641.0,155194885.00114515,995,3279685.4141006414,0.018605111041521367,191.72186324782078,,
89,,,995,3279685.4141006414,0.04370854745091469,189.36855849315808,23LA-SHARP,120116014.48191024
90,162.0,889371.4923685812,996,4032354.52664225,0.35276782256282185,127.7187320925006,,
91,988.0,2907052.1668596966,997,2361495.4341998925,0.782819160393569,20.70994793897597,,
92,,,997,2361495.4341998925,0.7828191603919247,20.709947938907657,23BN-BNIR02,2907052.166857689
93,670.0,19077700.47743511,998,23265146.985039968,0.6308262668139195,19.778766703471433,,
94,,,998,23265146.985039968,0.7472937039967997,6.393803861285201,23BN-AARON,24801800.145868953
95,641.0,155194885.00114515,1006,184734.14216927526,0.0009190709187640051,199.52443147128872,,
96,988.0,2907052.1668596966,1027,282289.36416140356,0.08125639763875706,164.59590653233985,,
97,,,1027,282289.36416140356,0.08125639763892381,164.59590653231757,23BN-BNIR02,2907052.166857689
98,655.0,379459545.8110053,1030,113229.40071612189,0.0003440886617686073,199.88067700519042,,
99,,,1030,113229.40071612189,0.0002752802130167264,199.88874600213137,23LX-BOLDING,406989087.4071335
100,641.0,155194885.00114515,1044,487263.44174399023,0.00155918677704743,198.74805571064496,,
101,641.0,155194885.00114515,1051,180535.73142158243,0.0017414768300428307,199.53522705053246,,
102,660.0,9726576.23809634,1057,12476794.588255484,0.7850907376844467,24.772980388140688,,
103,,,1057,12476794.588255484,0.7868602099103092,26.356773003068852,23LX-CENTIPEDE,9571221.775869532
104,670.0,19077700.47743511,1062,282289.3642321313,0.02034615531798682,194.16757205885352,,
105,,,1062,282289.3642321313,0.01901035409559233,195.49851129149488,23BN-AARON,24801800.145868953
106,625.0,79160001.94487792,1072,112926.64392395828,0.0023947812637555685,199.43018810615806,,
107,,,1072,112926.64392395828,0.002369252221927683,199.5253207319259,23DB-KPIR02,95047449.2301856
108,670.0,19077700.47743511,1074,113229.40039500817,0.009194854334675056,197.63993926056048,,
109,,,1074,113229.40039500817,0.00898849695356993,198.182151055695,23BN-AARON,24801800.145868953
110,655.0,379459545.8110053,1075,209786.39486665974,0.0010531889164619788,199.77897988900207,,
111,,,1075,209786.39486665974,0.0009460693961091862,199.79392242133886,23LX-BOLDING,406989087.4071335
112,628.0,487592230.13737977,1131,644832079.6408118,0.8520464285165649,27.770482873902747,,
113,,,1131,644832079.6408118,0.9101920905305059,16.349054555469664,23LA-KENNY,547374802.8264902
114,634.0,6767867.869314629,1141,11902187.562049879,0.6912993118792976,55.00058327743279,,
115,,,1141,11902187.562049879,0.7400670468278849,41.467982415317124,23LA-GOW,7814194.614993371
116,990.0,455639.22410154913,1161,752156.9385429567,0.73868948966646,49.1006220440663,,
117,,,1161,752156.9385429567,0.7386894896618293,49.100622044497214,23LF-GRASSY,455639.2240994598
118,637.0,154593342.73301128,1205,231117964.07004505,0.7958043879010318,39.679739736593795,,
119,,,1205,231117964.07004505,0.8498710785336132,28.802900784944637,23LA-WAPA,172929298.0532204
120,606.0,180402290.6308477,1228,446352.5724692129,6.682063797305373e-05,199.0127599199793,,
121,,,1228,446352.5724692129,0.00018420360897969973,199.0732667092767,23SR-RIACH,192209971.28564692
122,640.0,13546315.834058145,1232,13945249.723031893,0.7133502779346599,2.902227507890061,,
123,,,1232,13945249.723031893,0.751706021500164,5.1181661954089925,23LA-SUTTLE,14677735.705183782
124,991.0,455496.01701016596,1249,948919.4152273972,0.6486627910154105,70.2674417969179,,
125,,,1249,948919.4152273972,0.6486627910156416,70.26744179687161,23LA-PINK,455496.0170104064
126,650.0,53942884.647391155,1285,60826815.85421531,0.8147217987758145,11.99607766986862,,
127,,,1285,60826815.85421531,0.9094025290405219,10.07510115189853,23LA-BLACK,67280275.3658011
128,647.0,47097140.49526524,1331,69345937.52615109,0.7345299669762898,38.214031111052954,,
129,,,1331,69345937.52615109,0.12463562211462954,168.83705754452816,23LA-ISLAND,5859019.359483156
130,,,1331,69345937.52615109,0.7662076321084629,35.32397740713545,23LA-SHADD,48527197.69827232
131,663.0,5051936.452244403,1360,5316031.015715816,0.5168508673655057,5.094432718612124,,
132,,,1360,5316031.015715816,0.5708137564859292,8.407662880091985,23SR-MCCRADY,5782598.701168486
133,619.0,13802940.490132427,1371,20239349.07133207,0.760066688829325,37.814193252651194,,
134,,,1371,20239349.07133207,0.651345404994733,69.43934521507049,23SR-KILLOCK,9807263.542244053
135,,,1371,20239349.07133207,0.3260414254204157,121.42924708664265,23SR-MANSON,4947343.49603902
136,610.0,14958424.26177006,1372,10835844.450826826,0.7333333641284742,31.965083847714837,,
137,,,1372,10835844.450826826,0.71613152686536,34.602416054289165,23SR-ANDERSON,15369724.439184342
138,649.0,36594857.46743471,1376,46764801.64294796,0.7779756489014772,24.400157783866348,,
139,,,1376,46764801.64294796,0.7981945772226707,18.67788471477656,23LX-TIMSON,38776178.78850937
140,612.0,5213380.865545426,1382,4021137.0324327643,0.7544684019172603,25.821463476153784,,
141,,,1382,4021137.0324327643,0.7743620925281502,29.81938157999167,23SR-KINGSTON,5430320.060074768
142,630.0,82538995.06437352,1387,881322.184074587,0.017354407740450876,195.77406457733903,,
143,610.0,14958424.26177006,1402,280153.10693006864,0.036653234724503346,192.6462136155702,,
144,,,1402,280153.10693006864,0.03574987966012686,192.83948117537508,23SR-ANDERSON,15369724.439184342
145,610.0,14958424.26177006,1405,282289.36415829865,0.012430704543016254,192.5911772614623,,
146,,,1405,282289.36415829865,0.013153301004651948,192.78586467645425,23SR-ANDERSON,15369724.439184342
147,612.0,5213380.865545426,1406,76087.08985571211,0.02789932840207601,194.24614418710914,,
148,,,1406,76087.08985571211,0.027172440644065647,194.47283226365326,23SR-KINGSTON,5430320.060074768
149,610.0,14958424.26177006,1409,113229.40035795436,0.006480093840290223,196.9949043974524,,
150,,,1409,113229.40035795436,0.009708227766881981,197.07473389040857,23SR-ANDERSON,15369724.439184342
151,994.0,1506063.1909306787,1412,2168378.45351716,0.5783723886052309,36.04984521048274,,
152,,,1412,2168378.45351716,0.5783723886017552,36.04984521071483,23DB-LIME,1506063.190927066
153,610.0,14958424.26177006,1414,179671.0683618571,0.02210085707373462,195.25247887680484,,
154,,,1414,179671.0683618571,0.022944647659433638,195.37805650966527,23SR-ANDERSON,15369724.439184342
155,638.0,27097083.045531068,1418,34038496.51947451,0.8068309853752537,22.70826096140177,,
156,,,1418,34038496.51947451,0.8460901658190874,13.308401101706902,23LA-HEPBURN,29791144.214168645
157,1022.0,191248.66229230855,1421,352177.7967415924,0.7038621661238538,59.22756677522928,,
158,,,1421,352177.7967415924,0.7038621661232081,59.2275667753583,23DN-PAWR01,191248.6622920381
159,627.0,1656552.1097696165,1426,1246742.3871218604,0.6444130715290172,28.230668510310235,,
160,,,1426,1246742.3871218604,0.6383611580505382,69.71244535339606,23LA-MAY,602252.5830409611
161,630.0,82538995.06437352,1429,79460.2378554088,0.00039668436436968645,199.61529061484035,,
162,647.0,47097140.49526524,1430,282289.3641132779,0.010168784099621249,197.61677702791184,,
163,,,1430,282289.3641132779,0.011566987530619662,197.68660249387605,23LA-SHADD,48527197.69827232
164,647.0,47097140.49526524,1431,113229.40039506367,0.002489913268996387,199.04063958282626,,
165,,,1431,113229.40039506367,0.003064859029182207,199.06884534409716,23LA-SHADD,48527197.69827232
166,999.0,653292.8163666215,1467,1034246.836316102,0.6525053368098064,45.14904516096773,,
167,,,1467,1034246.836316102,0.6525053368096889,45.149045161024844,23BN-DIGBY,653292.8163662284
168,999.0,653292.8163666215,1468,282289.36423219857,0.07477551064393614,79.30964480254677,,
169,,,1468,282289.36423219857,0.0747755106447841,79.30964480249607,23BN-DIGBY,653292.8163662284
170,661.0,337586354.2777104,1473,106165.46213274026,0.0006116547388796379,199.87424600081215,,
171,,,1473,106165.46213274026,0.00018847675574668708,199.89808142806518,23BN-SHAD,416561612.0284907
172,54.0,78250065.41481982,1474,98287125.06109047,0.8557966852032185,22.70010029303694,,
173,,,1474,98287125.06109047,0.8912596411352643,15.801155751661632,23SR-DORRELL,83893780.72459817
174,997.0,32084.160405824234,1485,113229.40045791012,0.26280640766027064,111.68295590551062,,
175,,,1485,113229.40045791012,0.26280640763974317,111.68295590508083,23DB-TWIGGE,32084.1604060246
176,661.0,337586354.2777104,1492,109103.77894574082,0.0006323824397416675,199.87076666109326,,
177,,,1492,109103.77894574082,0.00023633514637838192,199.89526139005537,23BN-SHAD,416561612.0284907
178,350.0,1149241266.8496356,1503,113229.40045508252,0.00019703129160673636,199.96059374167868,,
179,,,1503,113229.40045508252,0.0001200385383943936,199.97599229232114,23LX-SHAW,1886437572.8604126
180,661.0,337586354.2777104,1505,207708698.07263184,0.5357911693115276,47.635736156151474,,
181,,,1505,207708698.07263184,0.5816418963695769,66.91105137517361,23BN-SHAD,416561612.0284907
182,661.0,337586354.2777104,1508,65640.91738363962,0.0003819554311372482,199.9222383775986,,
183,,,1508,65640.91738363962,0.00013977484656948813,199.9369787579478,23BN-SHAD,416561612.0284907
184,1003.0,49674.25691926704,1524,230409.43512059172,0.07657283972776158,129.05798040937293,,
185,,,1524,230409.43512059172,0.07657283972621708,129.05798040969296,23HB-SUGGI,49674.25691899464
186,622.0,48208174.68344664,1529,70321366.74762192,0.8042652071834255,37.31254132462045,,
187,,,1529,70321366.74762192,0.9393303904841641,8.271208747427686,23LA-GERMAN,64735931.22562076
188,617.0,7745887.88939178,1532,11944831.016901989,0.6833287676328573,42.64895707965336,,
189,,,1532,11944831.016901989,0.7282669565323993,30.01593785140993,23SR-BENTLEY,8827348.73460434
190,670.0,19077700.47743511,1535,282289.3641474719,0.02916213969711421,194.16757206057713,,
191,,,1535,282289.3641474719,0.022507443535851643,195.49851129282965,23BN-AARON,24801800.145868953
192,616.0,54972733.74926906,1540,76995282.09027861,0.783817041804235,33.37558453221802,,
193,,,1540,76995282.09027861,0.8852075121113228,13.310032570152755,23SR-MESSUM,67386641.55873051
194,633.0,154460591.2031119,1541,180998044.0027987,0.8964543200522372,15.821594685376128,,
195,,,1541,180998044.0027987,0.9346630971218133,8.767172830800787,23SR-SEGUIN,165796026.24979204
196,666.0,3547525.111056446,1550,12963138.25693209,0.42029315390108657,114.05493451136522,,
197,,,1550,12963138.25693209,0.4734784160268851,103.66853465077122,23BN-PARKER,4112240.687863917
198,1000.0,1012782.5204497321,1554,2469506.740723557,0.540725178490989,83.66474528787481,,
199,,,1554,2469506.740723557,0.5407251784902954,83.66474528835383,23LA-FRIDAY,1012782.5204438517
200,1001.0,483471.6805837625,1555,712564.1620877637,0.7408940324335863,38.308631452430156,,
201,,,1555,712564.1620877637,0.7408940324379141,38.308631453079684,23LA-HAWK,483471.6805805026
202,644.0,6436620.550933956,1556,4971690.490943297,0.5200061128925497,25.681804337438596,,
203,,,1556,4971690.490943297,0.4996111924651443,23.907478465807323,23LA-NICOLE,6321669.267047156
204,609.0,5383069.776043758,1559,5584071.693902211,0.8680901644536855,3.6655297719879547,,
205,,,1559,5584071.693902211,0.9119854551779307,3.53002943581962,23SR-ZANGE,5784732.765867534
206,642.0,55850264.9691513,1561,121733103.97185259,0.619206381283419,74.19933453857229,,
207,,,1561,121733103.97185259,0.8681350958698169,23.547858683630544,23LA-PELT,96087106.31990734
208,54.0,78250065.41481982,1564,4370401.347623389,0.026317626485939685,178.84107161878177,,
209,,,1564,4370401.347623389,0.0346116023655357,180.1939983127138,23SR-DORRELL,83893780.72459817
210,635.0,75312754.22176045,1566,116285870.69508101,0.7678807072639776,42.76973959609982,,
211,,,1566,116285870.69508101,0.8864755506085795,19.19123730433204,23LA-POOLE,95923106.49797353
212,646.0,56025209.23637228,1568,83973389.47141734,0.7897047821019841,39.92637139658743,,
213,,,1568,83973389.47141734,0.8669580580393379,14.416382827491713,23SR-TODOS,72681411.55463666
214,626.0,61514470.48042859,1574,90691353.89507227,0.7986487034811107,38.33872131287507,,
215,,,1574,90691353.89507227,0.9004205219914093,14.514892354747765,23LA-BAY,78418310.98561877
216,653.0,14024768.033280995,1582,15496266.609053282,0.79653294507632,9.969153138434402,,
217,,,1582,15496266.609053282,0.826086982738018,5.043276719591111,23LX-CREE,14733969.382045025
218,654.0,39290606.50140699,1586,54149719.01323954,0.7698482283038991,31.804496463367784,,
219,,,1586,54149719.01323954,0.8226245919865424,21.072074699387,23SR-HELMER,43826869.096085675
220,1005.0,958773.7160394958,1590,607827.659094595,0.5368949081169672,44.803491496343426,,
221,,,1590,607827.659094595,0.5368949081215523,44.80349149625493,23BN-GOLD,958773.7160386024
222,636.0,32644552.556730956,1595,3087137.411073594,0.1173753784883525,165.44090230431073,,
223,,,1595,3087137.411073594,0.10423163352275834,172.58072191162012,23LA-BRAD,41948875.58858161
224,163.0,2684116.6436840114,1602,2181610.0834190715,0.865174579234368,20.654943791474217,,
225,631.0,12238336.37068526,1613,21671691.23253628,0.7117709919161275,55.637553423606334,,
